Photon    Photoel. Tot. w/  
Energy    Absorb.  Coherent 

1.000E-03 1.183E+03 1.185E+03 
1.500E-03 4.002E+02 4.023E+02 
1.560E-03 3.600E+02 3.621E+02 
1.560E-03 3.955E+03 3.957E+03 
2.000E-03 2.261E+03 2.263E+03 
3.000E-03 7.865E+02 7.881E+02 
4.000E-03 3.591E+02 3.605E+02 
5.000E-03 1.922E+02 1.934E+02 
6.000E-03 1.143E+02 1.153E+02 
8.000E-03 4.950E+01 5.032E+01 
1.000E-02 2.556E+01 2.621E+01 
1.500E-02 7.515E+00 7.955E+00 
2.000E-02 3.100E+00 3.442E+00 
3.000E-02 8.722E-01 1.128E+00 
4.000E-02 3.504E-01 5.684E-01 
5.000E-02 1.718E-01 3.681E-01 
6.000E-02 9.564E-02 2.778E-01 
8.000E-02 3.783E-02 2.018E-01 
1.000E-01 1.840E-02 1.704E-01 
1.500E-01 4.993E-03 1.378E-01 
2.000E-01 2.002E-03 1.223E-01 
3.000E-01 5.743E-04 1.042E-01 
4.000E-01 2.480E-04 9.276E-02 
5.000E-01 1.344E-04 8.445E-02 
6.000E-01 8.401E-05 7.802E-02 
8.000E-01 4.252E-05 6.841E-02 
1.000E+00 2.643E-05 6.146E-02 
1.022E+00 2.489E-05 6.080E-02 
1.250E+00 1.688E-05 5.496E-02 
1.500E+00 1.222E-05 5.006E-02 
2.000E+00 7.633E-06 4.324E-02 
2.044E+00 7.381E-06 4.277E-02 
3.000E+00 4.223E-06 3.541E-02 
4.000E+00 2.881E-06 3.106E-02 
5.000E+00 2.175E-06 2.836E-02 
6.000E+00 1.744E-06 2.655E-02 
7.000E+00 1.453E-06 2.529E-02 
8.000E+00 1.245E-06 2.437E-02 
9.000E+00 1.088E-06 2.369E-02 
1.000E+01 9.664E-07 2.318E-02 
1.100E+01 8.691E-07 2.279E-02 
1.200E+01 7.894E-07 2.249E-02 
1.300E+01 7.229E-07 2.226E-02 
1.400E+01 6.669E-07 2.208E-02 
1.500E+01 6.187E-07 2.195E-02 
1.600E+01 5.772E-07 2.185E-02 
1.800E+01 5.087E-07 2.173E-02 
2.000E+01 4.546E-07 2.168E-02 
2.200E+01 4.109E-07 2.168E-02 
2.400E+01 3.750E-07 2.172E-02 
2.600E+01 3.446E-07 2.179E-02 
2.800E+01 3.189E-07 2.187E-02 
3.000E+01 2.968E-07 2.196E-02 
4.000E+01 2.203E-07 2.251E-02 
5.000E+01 1.751E-07 2.306E-02 
6.000E+01 1.453E-07 2.358E-02 
8.000E+01 1.084E-07 2.447E-02 
1.000E+02 8.644E-08 2.517E-02 
1.500E+02 5.738E-08 2.641E-02 
2.000E+02 4.294E-08 2.724E-02 
3.000E+02 2.857E-08 2.825E-02 
4.000E+02 2.140E-08 2.888E-02 
5.000E+02 1.711E-08 2.931E-02 
6.000E+02 1.425E-08 2.961E-02 
8.000E+02 1.068E-08 3.004E-02 
1.000E+03 8.544E-09 3.032E-02 
1.500E+03 5.694E-09 3.074E-02 
2.000E+03 4.270E-09 3.098E-02 
3.000E+03 2.846E-09 3.123E-02 
4.000E+03 2.134E-09 3.139E-02 
5.000E+03 1.707E-09 3.148E-02 
6.000E+03 1.423E-09 3.154E-02 
8.000E+03 1.067E-09 3.161E-02 
1.000E+04 8.535E-10 3.168E-02 
1.500E+04 5.689E-10 3.175E-02 
2.000E+04 4.267E-10 3.179E-02 
3.000E+04 2.846E-10 3.182E-02 
4.000E+04 2.134E-10 3.184E-02 
5.000E+04 1.707E-10 3.186E-02 
6.000E+04 1.422E-10 3.186E-02 
8.000E+04 1.067E-10 3.189E-02 
1.000E+05 8.533E-11 3.189E-02 
