Photon    Photoel. Tot. w/  
Energy    Absorb.  Coherent 

1.000E-03 1.057E+04 1.057E+04 
1.047E-03 9.328E+03 9.333E+03 
1.096E-03 8.240E+03 8.245E+03 
1.096E-03 9.340E+03 9.345E+03 
1.500E-03 4.413E+03 4.418E+03 
2.000E-03 2.149E+03 2.154E+03 
3.000E-03 7.449E+02 7.488E+02 
4.000E-03 3.439E+02 3.473E+02 
5.000E-03 1.870E+02 1.899E+02 
6.000E-03 1.131E+02 1.156E+02 
8.000E-03 5.062E+01 5.255E+01 
8.979E-03 3.657E+01 3.829E+01 
8.979E-03 2.766E+02 2.783E+02 
1.000E-02 2.145E+02 2.160E+02 
1.500E-02 7.308E+01 7.405E+01 
2.000E-02 3.308E+01 3.380E+01 
3.000E-02 1.045E+01 1.091E+01 
4.000E-02 4.520E+00 4.862E+00 
5.000E-02 2.335E+00 2.613E+00 
6.000E-02 1.353E+00 1.593E+00 
8.000E-02 5.676E-01 7.630E-01 
1.000E-01 2.878E-01 4.585E-01 
1.500E-01 8.345E-02 2.217E-01 
2.000E-01 3.487E-02 1.559E-01 
3.000E-01 1.051E-02 1.119E-01 
4.000E-01 4.664E-03 9.413E-02 
5.000E-01 2.568E-03 8.363E-02 
6.000E-01 1.621E-03 7.625E-02 
8.000E-01 8.265E-04 6.606E-02 
1.000E+00 5.143E-04 5.901E-02 
1.022E+00 4.885E-04 5.834E-02 
1.250E+00 3.303E-04 5.261E-02 
1.500E+00 2.380E-04 4.803E-02 
2.000E+00 1.464E-04 4.205E-02 
2.044E+00 1.414E-04 4.166E-02 
3.000E+00 7.922E-05 3.599E-02 
4.000E+00 5.324E-05 3.318E-02 
5.000E+00 3.978E-05 3.177E-02 
6.000E+00 3.165E-05 3.108E-02 
7.000E+00 2.622E-05 3.080E-02 
8.000E+00 2.237E-05 3.074E-02 
9.000E+00 1.947E-05 3.084E-02 
1.000E+01 1.725E-05 3.103E-02 
1.100E+01 1.547E-05 3.127E-02 
1.200E+01 1.402E-05 3.154E-02 
1.300E+01 1.281E-05 3.183E-02 
1.400E+01 1.180E-05 3.215E-02 
1.500E+01 1.094E-05 3.247E-02 
1.600E+01 1.019E-05 3.279E-02 
1.800E+01 8.957E-06 3.344E-02 
2.000E+01 7.992E-06 3.408E-02 
2.200E+01 7.214E-06 3.470E-02 
2.400E+01 6.573E-06 3.530E-02 
2.600E+01 6.038E-06 3.588E-02 
2.800E+01 5.582E-06 3.642E-02 
3.000E+01 5.190E-06 3.694E-02 
4.000E+01 3.841E-06 3.920E-02 
5.000E+01 3.048E-06 4.103E-02 
6.000E+01 2.527E-06 4.253E-02 
8.000E+01 1.882E-06 4.486E-02 
1.000E+02 1.499E-06 4.659E-02 
1.500E+02 9.941E-07 4.943E-02 
2.000E+02 7.436E-07 5.118E-02 
3.000E+02 4.944E-07 5.326E-02 
4.000E+02 3.703E-07 5.448E-02 
5.000E+02 2.960E-07 5.529E-02 
6.000E+02 2.465E-07 5.587E-02 
8.000E+02 1.848E-07 5.665E-02 
1.000E+03 1.477E-07 5.717E-02 
1.500E+03 9.846E-08 5.790E-02 
2.000E+03 7.381E-08 5.831E-02 
3.000E+03 4.919E-08 5.875E-02 
4.000E+03 3.689E-08 5.899E-02 
5.000E+03 2.951E-08 5.913E-02 
6.000E+03 2.459E-08 5.924E-02 
8.000E+03 1.844E-08 5.938E-02 
1.000E+04 1.476E-08 5.947E-02 
1.500E+04 9.837E-09 5.959E-02 
2.000E+04 7.376E-09 5.965E-02 
3.000E+04 4.917E-09 5.973E-02 
4.000E+04 3.687E-09 5.976E-02 
5.000E+04 2.950E-09 5.978E-02 
6.000E+04 2.458E-09 5.979E-02 
8.000E+04 1.844E-09 5.982E-02 
1.000E+05 1.475E-09 5.983E-02 
