Photon    Photoel. Tot. w/  
Energy    Absorb.  Coherent 

1.000E-03 4.936E+03 4.943E+03 
1.500E-03 1.918E+03 1.925E+03 
2.000E-03 9.535E+02 9.596E+02 
2.520E-03 5.359E+02 5.416E+02 
2.520E-03 1.973E+03 1.979E+03 
2.572E-03 1.855E+03 1.861E+03 
2.625E-03 1.744E+03 1.750E+03 
2.625E-03 2.427E+03 2.433E+03 
2.743E-03 2.179E+03 2.184E+03 
2.866E-03 1.956E+03 1.961E+03 
2.866E-03 2.237E+03 2.243E+03 
3.000E-03 2.006E+03 2.011E+03 
4.000E-03 9.660E+02 9.706E+02 
5.000E-03 5.410E+02 5.450E+02 
6.000E-03 3.336E+02 3.372E+02 
8.000E-03 1.537E+02 1.566E+02 
1.000E-02 8.342E+01 8.576E+01 
1.500E-02 2.700E+01 2.854E+01 
2.000E-02 1.200E+01 1.308E+01 
2.000E-02 7.846E+01 7.955E+01 
2.000E-02 7.846E+01 7.955E+01 
3.000E-02 2.743E+01 2.810E+01 
4.000E-02 1.246E+01 1.294E+01 
5.000E-02 6.666E+00 7.040E+00 
6.000E-02 3.966E+00 4.274E+00 
8.000E-02 1.728E+00 1.962E+00 
1.000E-01 9.007E-01 1.096E+00 
1.500E-01 2.732E-01 4.208E-01 
2.000E-01 1.175E-01 2.423E-01 
3.000E-01 3.665E-02 1.379E-01 
4.000E-01 1.661E-02 1.047E-01 
5.000E-01 9.265E-03 8.848E-02 
6.000E-01 5.892E-03 7.851E-02 
8.000E-01 3.030E-03 6.619E-02 
1.000E+00 1.888E-03 5.837E-02 
1.022E+00 1.796E-03 5.766E-02 
1.250E+00 1.213E-03 5.166E-02 
1.500E+00 8.700E-04 4.714E-02 
2.000E+00 5.318E-04 4.163E-02 
2.044E+00 5.132E-04 4.129E-02 
3.000E+00 2.842E-04 3.675E-02 
4.000E+00 1.894E-04 3.496E-02 
5.000E+00 1.406E-04 3.439E-02 
6.000E+00 1.114E-04 3.440E-02 
7.000E+00 9.190E-05 3.473E-02 
8.000E+00 7.815E-05 3.524E-02 
9.000E+00 6.792E-05 3.584E-02 
1.000E+01 6.000E-05 3.650E-02 
1.100E+01 5.372E-05 3.718E-02 
1.200E+01 4.862E-05 3.785E-02 
1.300E+01 4.439E-05 3.852E-02 
1.400E+01 4.083E-05 3.916E-02 
1.500E+01 3.780E-05 3.978E-02 
1.600E+01 3.518E-05 4.039E-02 
1.800E+01 3.090E-05 4.154E-02 
2.000E+01 2.754E-05 4.264E-02 
2.200E+01 2.483E-05 4.369E-02 
2.400E+01 2.261E-05 4.467E-02 
2.600E+01 2.075E-05 4.558E-02 
2.800E+01 1.917E-05 4.644E-02 
3.000E+01 1.781E-05 4.724E-02 
4.000E+01 1.316E-05 5.065E-02 
5.000E+01 1.043E-05 5.329E-02 
6.000E+01 8.637E-06 5.541E-02 
8.000E+01 6.428E-06 5.864E-02 
1.000E+02 5.120E-06 6.099E-02 
1.500E+02 3.392E-06 6.482E-02 
2.000E+02 2.536E-06 6.715E-02 
3.000E+02 1.685E-06 6.992E-02 
4.000E+02 1.262E-06 7.156E-02 
5.000E+02 1.009E-06 7.263E-02 
6.000E+02 8.399E-07 7.340E-02 
8.000E+02 6.296E-07 7.441E-02 
1.000E+03 5.034E-07 7.506E-02 
1.500E+03 3.353E-07 7.602E-02 
2.000E+03 2.515E-07 7.657E-02 
3.000E+03 1.676E-07 7.717E-02 
4.000E+03 1.257E-07 7.748E-02 
5.000E+03 1.005E-07 7.766E-02 
6.000E+03 8.373E-08 7.778E-02 
8.000E+03 6.283E-08 7.797E-02 
1.000E+04 5.025E-08 7.809E-02 
1.500E+04 3.349E-08 7.828E-02 
2.000E+04 2.512E-08 7.834E-02 
3.000E+04 1.675E-08 7.846E-02 
4.000E+04 1.256E-08 7.846E-02 
5.000E+04 1.005E-08 7.852E-02 
6.000E+04 8.373E-09 7.852E-02 
8.000E+04 6.277E-09 7.859E-02 
1.000E+05 5.024E-09 7.859E-02 
