Photon    Photoel. Tot. w/  
Energy    Absorb.  Coherent 

1.000E-03 3.672E+03 3.683E+03 
1.500E-03 1.633E+03 1.644E+03 
1.809E-03 1.097E+03 1.108E+03 
1.809E-03 1.305E+03 1.315E+03 
1.840E-03 1.931E+03 1.942E+03 
1.872E-03 2.854E+03 2.865E+03 
1.872E-03 3.112E+03 3.123E+03 
2.000E-03 3.911E+03 3.921E+03 
2.281E-03 2.818E+03 2.828E+03 
2.281E-03 3.269E+03 3.279E+03 
2.423E-03 2.822E+03 2.832E+03 
2.575E-03 2.436E+03 2.446E+03 
2.575E-03 2.589E+03 2.599E+03 
2.694E-03 2.329E+03 2.338E+03 
2.820E-03 2.094E+03 2.104E+03 
2.820E-03 2.184E+03 2.194E+03 
3.000E-03 1.893E+03 1.902E+03 
4.000E-03 9.480E+02 9.563E+02 
5.000E-03 5.457E+02 5.532E+02 
6.000E-03 3.446E+02 3.513E+02 
8.000E-03 1.651E+02 1.705E+02 
1.000E-02 9.240E+01 9.690E+01 
1.021E-02 8.759E+01 9.200E+01 
1.021E-02 2.290E+02 2.334E+02 
1.085E-02 1.943E+02 1.985E+02 
1.154E-02 1.650E+02 1.689E+02 
1.154E-02 2.273E+02 2.312E+02 
1.182E-02 2.147E+02 2.185E+02 
1.210E-02 2.028E+02 2.065E+02 
1.210E-02 2.344E+02 2.382E+02 
1.500E-02 1.359E+02 1.389E+02 
2.000E-02 6.361E+01 6.572E+01 
3.000E-02 2.144E+01 2.273E+01 
4.000E-02 9.781E+00 1.067E+01 
5.000E-02 5.290E+00 5.950E+00 
6.000E-02 3.191E+00 3.713E+00 
6.953E-02 2.118E+00 2.552E+00 
6.953E-02 1.080E+01 1.123E+01 
8.000E-02 7.442E+00 7.809E+00 
1.000E-01 4.153E+00 4.437E+00 
1.500E-01 1.395E+00 1.581E+00 
2.000E-01 6.397E-01 7.845E-01 
3.000E-01 2.166E-01 3.238E-01 
4.000E-01 1.033E-01 1.925E-01 
5.000E-01 5.962E-02 1.378E-01 
6.000E-01 3.875E-02 1.093E-01 
8.000E-01 2.042E-02 8.066E-02 
1.000E+00 1.283E-02 6.618E-02 
1.022E+00 1.228E-02 6.497E-02 
1.250E+00 8.281E-03 5.576E-02 
1.500E+00 5.906E-03 5.000E-02 
2.000E+00 3.574E-03 4.433E-02 
2.044E+00 3.449E-03 4.404E-02 
3.000E+00 1.875E-03 4.075E-02 
4.000E+00 1.231E-03 4.038E-02 
5.000E+00 9.044E-04 4.103E-02 
6.000E+00 7.098E-04 4.210E-02 
7.000E+00 5.821E-04 4.337E-02 
8.000E+00 4.923E-04 4.472E-02 
9.000E+00 4.258E-04 4.610E-02 
1.000E+01 3.747E-04 4.747E-02 
1.100E+01 3.344E-04 4.882E-02 
1.200E+01 3.019E-04 5.016E-02 
1.300E+01 2.750E-04 5.144E-02 
1.400E+01 2.524E-04 5.269E-02 
1.500E+01 2.333E-04 5.384E-02 
1.600E+01 2.167E-04 5.499E-02 
1.800E+01 1.898E-04 5.704E-02 
2.000E+01 1.688E-04 5.893E-02 
2.200E+01 1.519E-04 6.069E-02 
2.400E+01 1.381E-04 6.233E-02 
2.600E+01 1.266E-04 6.383E-02 
2.800E+01 1.168E-04 6.524E-02 
3.000E+01 1.084E-04 6.653E-02 
4.000E+01 7.979E-05 7.201E-02 
5.000E+01 6.312E-05 7.619E-02 
6.000E+01 5.218E-05 7.949E-02 
8.000E+01 3.875E-05 8.444E-02 
1.000E+02 3.082E-05 8.796E-02 
1.500E+02 2.039E-05 9.363E-02 
2.000E+02 1.523E-05 9.702E-02 
3.000E+02 1.011E-05 1.010E-01 
4.000E+02 7.570E-06 1.033E-01 
5.000E+02 6.047E-06 1.048E-01 
6.000E+02 5.035E-06 1.059E-01 
8.000E+02 3.773E-06 1.073E-01 
1.000E+03 3.016E-06 1.082E-01 
1.500E+03 2.010E-06 1.096E-01 
2.000E+03 1.506E-06 1.103E-01 
3.000E+03 1.004E-06 1.111E-01 
4.000E+03 7.527E-07 1.115E-01 
5.000E+03 6.020E-07 1.118E-01 
6.000E+03 5.018E-07 1.120E-01 
8.000E+03 3.764E-07 1.122E-01 
1.000E+04 3.010E-07 1.124E-01 
1.500E+04 2.007E-07 1.126E-01 
2.000E+04 1.505E-07 1.128E-01 
3.000E+04 1.003E-07 1.129E-01 
4.000E+04 7.524E-08 1.129E-01 
5.000E+04 6.020E-08 1.130E-01 
6.000E+04 5.015E-08 1.130E-01 
8.000E+04 3.760E-08 1.131E-01 
1.000E+05 3.009E-08 1.131E-01 
